date,package,downloads_last_week
2026-02-15T23:58:55Z,@memvid/sdk,858
2026-02-15T23:58:55Z,memvid-cli,131
2026-02-15T23:58:55Z,memvid-mind,22
2026-02-15T23:58:55Z,@memvid/cli-darwin-arm64,67
2026-02-15T23:58:55Z,@memvid/cli-win32-x64,27
2026-02-15T23:58:55Z,@memvid/cli-linux-x64,107
2026-02-15T23:58:55Z,@memvid/sdk-darwin-arm64,113
2026-02-15T23:58:55Z,@memvid/sdk-darwin-x64,35
2026-02-15T23:58:55Z,@memvid/sdk-linux-x64-gnu,580
2026-02-15T23:58:55Z,@memvid/sdk-win32-x64-msvc,49
2026-02-15T23:58:55Z,@memvid/sdk-linux-arm64-gnu,155
2026-02-15T23:58:55Z,@memvid/cli-linux-arm64,10
2026-02-16T01:28:57Z,@memvid/sdk,858
2026-02-16T01:28:57Z,memvid-cli,131
2026-02-16T01:28:57Z,memvid-mind,22
2026-02-16T01:28:57Z,@memvid/cli-darwin-arm64,67
2026-02-16T01:28:57Z,@memvid/cli-win32-x64,27
2026-02-16T01:28:57Z,@memvid/cli-linux-x64,107
2026-02-16T01:28:57Z,@memvid/sdk-darwin-arm64,113
2026-02-16T01:28:57Z,@memvid/sdk-darwin-x64,35
2026-02-16T01:28:57Z,@memvid/sdk-linux-x64-gnu,580
2026-02-16T01:28:57Z,@memvid/sdk-win32-x64-msvc,49
2026-02-16T01:28:57Z,@memvid/sdk-linux-arm64-gnu,155
2026-02-16T01:28:57Z,@memvid/cli-linux-arm64,10
2026-02-16T12:40:28Z,@memvid/sdk,879
2026-02-16T12:40:28Z,memvid-cli,231
2026-02-16T12:40:28Z,memvid-mind,22
2026-02-16T12:40:28Z,@memvid/cli-darwin-arm64,174
2026-02-16T12:40:28Z,@memvid/cli-win32-x64,125
2026-02-16T12:40:28Z,@memvid/cli-linux-x64,211
2026-02-16T12:40:28Z,@memvid/sdk-darwin-arm64,215
2026-02-16T12:40:28Z,@memvid/sdk-darwin-x64,143
2026-02-16T12:40:28Z,@memvid/sdk-linux-x64-gnu,621
2026-02-16T12:40:28Z,@memvid/sdk-win32-x64-msvc,151
2026-02-16T12:40:28Z,@memvid/sdk-linux-arm64-gnu,226
2026-02-16T12:40:28Z,@memvid/cli-linux-arm64,100
2026-02-17T01:16:01Z,@memvid/sdk,879
2026-02-17T01:16:01Z,memvid-cli,231
